Date;Time;Severity;TID;This;Function;Message
2019/05/19;17:59:59.638;DEBUG;8004;0000000000000000;GetCurrentProcInfo@173;"Current Directory: D:\Курсовая работа\tryAddSfml\x64\Release"
2019/05/19;17:59:59.638;DEBUG;8004;0000000000000000;InitEvents@571;"Init events: CAMOverlayStarted776"
2019/05/19;17:59:59.743;DEBUG;15036;0000000000000000;InitHook@447;"Init hook"
2019/05/19;17:59:59.743;DEBUG;15036;0000000000000000;InitNamedPipes@438;"Named pipe initialized: "
2019/05/19;17:59:59.746;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:59.761;DEBUG;15036;0000000000000000;HookDXGI@228;"Hooked DXGI"
2019/05/19;17:59:59.761;DEBUG;15036;0000000000000000;TryHook@510;"DXGI(D10, D11, D12) is hooked"
2019/05/19;17:59:59.761;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;17:59:59.762;DEBUG;15036;0000000000000000;HookGL@194;"Hooked OpenGL"
2019/05/19;17:59:59.762;DEBUG;15036;0000000000000000;TryHook@523;"OpenGL is hooked"
2019/05/19;18:00:02.747;DEBUG;12816;0000000000000000;NamedPipeThread@205;"Pipe: INVALID_HANDLE_VALUE, retry."
2019/05/19;18:00:03.857;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;18:00:07.987;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;18:00:12.437;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
2019/05/19;18:00:16.599;DEBUG;15036;0000000000000000;HookD3D9@220;"hook_dxgi: failed to get system d3d9 module"
